Id,Label
1,Toy Story (1995)
7,Twelve Monkeys (1995)
9,Dead Man Walking (1995)
15,Mr. Holland's Opus (1995)
22,Braveheart (1995)
25,"Birdcage, The (1996)"
50,Star Wars (1977)
56,Pulp Fiction (1994)
69,Forrest Gump (1994)
79,"Fugitive, The (1993)"
96,Terminator 2: Judgment Day (1991)
98,"Silence of the Lambs, The (1991)"
100,Fargo (1996)
117,"Rock, The (1996)"
118,Twister (1996)
121,Independence Day (ID4) (1996)
127,"Godfather, The (1972)"
151,Willy Wonka and the Chocolate Factory (1971)
168,Monty Python and the Holy Grail (1974)
172,"Empire Strikes Back, The (1980)"
173,"Princess Bride, The (1987)"
174,Raiders of the Lost Ark (1981)
181,Return of the Jedi (1983)
183,Alien (1979)
195,"Terminator, The (1984)"
204,Back to the Future (1985)
210,Indiana Jones and the Last Crusade (1989)
216,When Harry Met Sally... (1989)
222,Star Trek: First Contact (1996)
237,Jerry Maguire (1996)
257,Men in Black (1997)
258,Contact (1997)
269,"Full Monty, The (1997)"
276,Leaving Las Vegas (1995)
286,"English Patient, The (1996)"
288,Scream (1996)
294,Liar Liar (1997)
300,Air Force One (1997)
302,L.A. Confidential (1997)
313,Titanic (1997)
318,Schindler's List (1993)
328,Conspiracy Theory (1997)
405,Mission: Impossible (1996)
423,E.T. the Extra-Terrestrial (1982)
748,"Saint, The (1997)"
