ID,Label
50,Star Wars (1977)
1,Toy Story (1995)
100,Fargo (1996)
174,Raiders of the Lost Ark (1981)
121,Independence Day (ID4) (1996)
172,"Empire Strikes Back, The (1980)"
7,Twelve Monkeys (1995)
56,Pulp Fiction (1994)
98,"Silence of the Lambs, The (1991)"
127,"Godfather, The (1972)"
258,Contact (1997)
288,Scream (1996)
117,"Rock, The (1996)"
181,Return of the Jedi (1983)
222,Star Trek: First Contact (1996)
405,Mission: Impossible (1996)
294,Liar Liar (1997)
204,Back to the Future (1985)
210,Indiana Jones and the Last Crusade (1989)
300,Air Force One (1997)
286,"English Patient, The (1996)"
79,"Fugitive, The (1993)"
237,Jerry Maguire (1996)
