Source;Target;Weight;Label1;Label2
50;181;0.5090137857900318;Star Wars (1977);Return of the Jedi (1983)
50;100;0.4178154825026511;Star Wars (1977);Fargo (1996)
1;50;0.40402969247083775;Toy Story (1995);Star Wars (1977)
50;174;0.4029692470837752;Star Wars (1977);Raiders of the Lost Ark (1981)
50;121;0.383881230116649;Star Wars (1977);Independence Day (ID4) (1996)
50;127;0.37857900318133614;Star Wars (1977);Godfather, The (1972)
100;181;0.3669141039236479;Fargo (1996);Return of the Jedi (1983)
50;172;0.36585365853658536;Star Wars (1977);Empire Strikes Back, The (1980)
174;181;0.36267232237539765;Raiders of the Lost Ark (1981);Return of the Jedi (1983)
1;181;0.3605514316012725;Toy Story (1995);Return of the Jedi (1983)
121;181;0.35949098621421;Independence Day (ID4) (1996);Return of the Jedi (1983)
50;98;0.3552492046659597;Star Wars (1977);Silence of the Lambs, The (1991)
50;258;0.35418875927889715;Star Wars (1977);Contact (1997)
50;56;0.34994697773064687;Star Wars (1977);Pulp Fiction (1994)
172;174;0.34676564156945916;Empire Strikes Back, The (1980);Raiders of the Lost Ark (1981)
1;100;0.344644750795334;Toy Story (1995);Fargo (1996)
7;50;0.34358430540827145;Twelve Monkeys (1995);Star Wars (1977)
7;100;0.33934252386002123;Twelve Monkeys (1995);Fargo (1996)
172;181;0.3361611876988335;Empire Strikes Back, The (1980);Return of the Jedi (1983)
50;222;0.33510074231177095;Star Wars (1977);Star Trek: First Contact (1996)
1;121;0.3329798515376458;Toy Story (1995);Independence Day (ID4) (1996)
56;174;0.3329798515376458;Pulp Fiction (1994);Raiders of the Lost Ark (1981)
121;405;0.3329798515376458;Independence Day (ID4) (1996);Mission: Impossible (1996)
50;117;0.33085896076352067;Star Wars (1977);Rock, The (1996)
98;174;0.3297985153764581;Silence of the Lambs, The (1991);Raiders of the Lost Ark (1981)
100;121;0.32873806998939553;Fargo (1996);Independence Day (ID4) (1996)
127;181;0.32873806998939553;Godfather, The (1972);Return of the Jedi (1983)
258;294;0.32873806998939553;Contact (1997);Liar Liar (1997)
50;204;0.32767762460233296;Star Wars (1977);Back to the Future (1985)
50;294;0.32767762460233296;Star Wars (1977);Liar Liar (1997)
288;294;0.3266171792152704;Scream (1996);Liar Liar (1997)
258;288;0.32343584305408274;Contact (1997);Scream (1996)
50;210;0.32237539766702017;Star Wars (1977);Indiana Jones and the Last Crusade (1989)
258;300;0.32237539766702017;Contact (1997);Air Force One (1997)
56;98;0.31919406150583246;Pulp Fiction (1994);Silence of the Lambs, The (1991)
258;286;0.3181336161187699;Contact (1997);English Patient, The (1996)
117;121;0.3170731707317073;Rock, The (1996);Independence Day (ID4) (1996)
174;204;0.31601272534464475;Raiders of the Lost Ark (1981);Back to the Future (1985)
181;222;0.31601272534464475;Return of the Jedi (1983);Star Trek: First Contact (1996)
181;258;0.31601272534464475;Return of the Jedi (1983);Contact (1997)
50;79;0.3149522799575822;Star Wars (1977);Fugitive, The (1993)
50;237;0.3138918345705196;Star Wars (1977);Jerry Maguire (1996)
98;181;0.3138918345705196;Silence of the Lambs, The (1991);Return of the Jedi (1983)
100;127;0.3138918345705196;Fargo (1996);Godfather, The (1972)
7;181;0.31283138918345704;Twelve Monkeys (1995);Return of the Jedi (1983)
100;237;0.3107104984093319;Fargo (1996);Jerry Maguire (1996)
117;181;0.3107104984093319;Rock, The (1996);Return of the Jedi (1983)
56;100;0.30965005302226933;Pulp Fiction (1994);Fargo (1996)
50;405;0.3075291622481442;Star Wars (1977);Mission: Impossible (1996)
98;100;0.3075291622481442;Silence of the Lambs, The (1991);Fargo (1996)
